Individual ID,Sex
N1A1,MALE
N1A2,FEMALE
N2A1,FEMALE
N2A2,
N3A1,FEMALE
N3A2,MALE
N4A1,FEMALE
N4A2,MALE
N5A1,
N5A2,
N6A1,
N6A2,
N7A1,FEMALE
N7A2,MALE
N8A1,MALE
N8A2,FEMALE
N9A1,FEMALE
N9A2,MALE
N10A1,FEMALE
N10A2,MALE
N11A1,FEMALE
N11A2,MALE
N12A1,FEMALE
N12A2,MALE
N13A1,MALE
N13A2,FEMALE
N17A1,MALE
N17A2,FEMALE
N18A1,FEMALE
N18A2,MALE
N21A1,FEMALE
N21A2,MALE
N22A1,FEMALE
N22A2,MALE
N23A1,FEMALE
N23A2,MALE
N24A1,MALE
N24A2,FEMALE
N25A1,FEMALE
N25A2,MALE
N26A1,FEMALE
N26A2,MALE
N27A1,FEMALE
N27A2,MALE
N28A1,FEMALE
N28A2,MALE
N29A1,MALE
N29A2,
N30A1,FEMALE
N30A2,MALE
N21A1,FEMALE
N21A2,MALE
N22A1,FEMALE
N22A2,MALE
N23A1,FEMALE
N23A2,MALE
N24A1,FEMALE
N24A2,MALE
N25A1,FEMALE
N25A2,MALE
N27A1,FEMALE
N27A2,MALE
N28A1,FEMALE
N28A2,MALE
N29A1,FEMALE
N29A2,MALE
N30A1,FEMALE
N30A2,MALE
N32A1,FEMALE
N32A2,MALE
N34A1,FEMALE
N34A2,MALE
N35A1,FEMALE
N35A2,MALE
N36A1,FEMALE
N36A2,MALE
N37A1,FEMALE
N37A2,MALE
N38A1,FEMALE
N38A2,MALE
N39A1,FEMALE
N39A2,MALE
N40A1,FEMALE
N40A2,MALE
N41A1,FEMALE
N41A2,MALE
N42A1,MALE
N42A2,FEMALE
N44A1,MALE
N44A2,FEMALE
N45A1,FEMALE
N45A2,MALE
N46A1,FEMALE
N46A2,MALE
N48A1,FEMALE
N48A2,MALE
N49A1,FEMALE
N49A2,MALE
N50A1,FEMALE
N50A2,MALE
N47A1,FEMALE
N47A2,MALE
N49A1,FEMALE
N49A2,MALE
N51A1,FEMALE
N51A2,MALE
N53A1,FEMALE
N53A2,MALE
N55A1,FEMALE
N55A2,MALE
N58A1,FEMALE
N58A2,MALE
N60A1,FEMALE
N60A2,MALE
N61A1,FEMALE
N61A2,MALE
N63A1,FEMALE
N63A2,MALE
N64A1,FEMALE
N64A2,MALE
N66A1,FEMALE
N66A2,MALE
N67A1,FEMALE
N67A2,MALE
N69A1,FEMALE
N69A2,MALE
N71A1,FEMALE
N71A2,MALE
N72A1,FEMALE
N72A2,MALE
N73A1,FEMALE
N73A2,MALE
N76A1,FEMALE
N76A2,MALE
N77A1,FEMALE
N77A2,MALE
N78A1,FEMALE
N78A2,MALE
N79A1,FEMALE
N79A2,MALE
N80A1,FEMALE
N80A2,MALE
N81A1,FEMALE
N81A2,MALE
N82A1,FEMALE
N82A2,MALE
N83A1,MALE
N83A2,FEMALE
N84A1,FEMALE
N84A2,MALE
N85A1,FEMALE
N85A2,MALE
N61A1,FEMALE
N61A2,MALE
N62A1,MALE
N62A2,FEMALE
N64A1,MALE
N64A2,FEMALE
N66A1,FEMALE
N66A2,MALE
N67A1,FEMALE
N67A2,MALE
N68A1,FEMALE
N68A2,MALE
N69A1,FEMALE
N69A2,MALE
N70A1,FEMALE
N70A2,MALE
N71A1,MALE
N71A2,FEMALE
N72A1,FEMALE
N72A2,MALE
N73A1,FEMALE
N73A2,MALE
N85A1,FEMALE
N85A2,MALE
N89A1,FEMALE
N89A2,MALE
N61A1,FEMALE
N61A2,MALE
N62A1,FEMALE
N62A2,MALE
N63A1,FEMALE
N63A2,MALE
N65A1,FEMALE
N65A2,MALE
N67A1,MALE
N67A2,FEMALE
N69A1,FEMALE
N69A2,MALE
N72A1,FEMALE
N72A2,MALE
N74A1,MALE
N74A2,FEMALE
N75A1,MALE
N75A2,FEMALE
N86A1,FEMALE
N86A2,MALE
N87A1,FEMALE
N87A2,MALE
N88A1,MALE
N88A2,FEMALE
N90A1,FEMALE
N90A2,MALE
N92A1,FEMALE
N92A2,MALE
N93A1,FEMALE
N93A2,MALE
N94A1,FEMALE
N94A2,MALE
N95A1,MALE
N95A2,FEMALE
N96A1,MALE
N96A2,FEMALE
N98A1,FEMALE
N98A2,MALE
N99A1,FEMALE
N99A2,MALE
N100A1,MALE
N100A2,FEMALE
N31A1,FEMALE
N31A2,MALE
N32A1,FEMALE
N32A2,MALE
N33A1,MALE
N33A2,FEMALE
N34A1,FEMALE
N34A2,MALE
N35A1,FEMALE
N35A2,MALE
N36A1,FEMALE
N36A2,MALE
N37A1,FEMALE
N37A2,MALE
N38A1,FEMALE
N38A2,MALE
N39A1,FEMALE
N39A2,MALE
N40A1,FEMALE
N40A2,MALE
N41A1,MALE
N41A2,FEMALE
N42A1,FEMALE
N42A2,MALE
N44A1,FEMALE
N44A2,MALE
N46A1,
N46A2,MALE
N47A1,FEMALE
N47A2,MALE
N50A1,MALE
N50A2,FEMALE
N56A1,FEMALE
N56A2,MALE
N2A1,FEMALE
N2A2,MALE
N4A1,FEMALE
N4A2,MALE
N5A1,FEMALE
N5A2,MALE
N6A1,FEMALE
N6A2,MALE
N7A1,FEMALE
N7A2,MALE
N8A1,MALE
N8A2,FEMALE
N11A1,FEMALE
N11A2,MALE
N12A1,FEMALE
N12A2,MALE
N13A1,FEMALE
N13A2,MALE
N14A1,FEMALE
N14A2,MALE
N15A1,FEMALE
N15A2,MALE
N16A1,FEMALE
N16A2,MALE
N17A1,FEMALE
N17A2,MALE
N18A1,FEMALE
N18A2,MALE
N19A1,FEMALE
N19A2,MALE
N20A1,FEMALE
N20A2,MALE
N51A1,
N51A2,MALE
N53A1,FEMALE
N53A2,MALE
N54A1,FEMALE
N54A2,MALE
N55A1,MALE
N55A2,FEMALE
N56A1,FEMALE
N56A2,MALE
N58A1,FEMALE
N58A2,MALE
N60A1,FEMALE
N60A2,MALE
N1A1,FEMALE
N1A2,MALE
N6A1,FEMALE
N6A2,MALE
N8A1,FEMALE
N8A2,MALE
N13A1,FEMALE
N13A2,MALE
N14A1,FEMALE
N14A2,MALE
N15A1,FEMALE
N15A2,MALE
N18A1,FEMALE
N18A2,MALE
N19A1,FEMALE
N19A2,MALE
N20A1,MALE
N20A2,FEMALE
N21A1,FEMALE
N21A2,MALE
N22A1,FEMALE
N22A2,MALE
N23A1,FEMALE
N23A2,MALE
N24A1,
N24A2,MALE
N28A1,FEMALE
N28A2,MALE
N29A1,FEMALE
N29A2,MALE
N32A1,FEMALE
N32A2,MALE
N34A1,FEMALE
N34A2,MALE
N35A1,FEMALE
N35A2,MALE
N36A1,.
N36A2,MALE
N38A1,FEMALE
N38A2,
N39A1,FEMALE
N39A2,MALE
N43A1,FEMALE
N43A2,MALE
